,page_no,manufacturer,title,price,description
34,1,Fender,Player Plus Strat HSS  B-Stock,£777,"B-Stock, Fender Player Plus Stratocaster HSS MN 3-Color Sunburst; stratocaster electric guitar; player plus series; body: alder; neck: maple; fingerbo..."
35,1,ESP,LTD EC-1000 Vintage Bl B-Stock,£799,"Body: Mahogany
                                                            3-Piece set-in neck: Mahogany
                                                            Fretboard: Ebony"
36,1,Harley Benton,ST-20HSS SBK Standard  B-Stock,£71,"B-Stock, Harley Benton ST-20HSS SBK Standard Series; all black electric guitar; basswood body; bolt-on maple neck with modern C-shape; amaranth fretbo..."
37,1,Harley Benton,SC-200 BK Student Seri B-Stock,£80,"Student Series
                                                            Body: Poplar
                                                            Bolt-on neck: maple"
38,1,ESP,LTD GH 600 BLK B-Stock,"£1,219","B-Stock, ESP LTD GH 600 BLK, Single cut electric guitar; Gary Holt Signature model; body: Mahogany; (Khaya ivorensis / West Africa) neck: Mahogany (Kh..."
39,1,Harley Benton,SC-550 Plus EMG PAF B-Stock,£285,"B-Stock, Harley Benton SC-550Plus EMG Paradise Amber Flame; SC-Style Electric Guitar; Deluxe Series; Body: Okoume; Top: Flame AA Ahorn; Neck: Nyatoh; ..."
40,1,Harley Benton,DC-DLX Gotoh Daphne Bl B-Stock,£186,"B-Stock, Harley Benton DC-DLX Gotoh Daphne Blue Deluxe Series, electric guitar, Nyatoh body, set mahogany modern C-shape neck, Rosewood (Dalbergia lat..."
41,1,Harley Benton,Fusion-III HH FR Roast B-Stock,£347,"B-Stock, Harley Benton Fusion-III HH FR Roasted FBLB Trans Flamed Blue Burst; pro series, st-style electric guitar; comfort body contour with matched ..."
42,1,Harley Benton,SC-Special TV Yellow B-Stock,£169,"B-Stock, Harley Benton SC-Special TV Yellow, Vintage Series, Single Cut Electric Guitar; a.k.a. ""the dirty mustard sc""; Body: Mahogany; Neck: Mahogany..."
43,1,Harley Benton,Fusion-T HH Roasted SW B-Stock,£358,"B-Stock, Harley Benton Fusion-T HH Roasted SWH; t-style electric guitar; pro series; comfort body contour; body: nyatoh (palaquium spp); neck: roasted..."
44,1,Fender,Telecaster Custom FMT  B-Stock,£759,"Special Edition series
                                                            Body: Mahogany
                                                            Top: Flamed maple"
45,1,Harley Benton,SC-Custom II FR Vint. B-Stock,£276,"Custom Line series
                                                            Mahogany body
                                                            Set-in mahogany neck"
46,1,Harley Benton,SC-Custom Plus EMG VBK B-Stock,£324,"B-Stock, Harley Benton SC-Custom Plus EMG Vintage Black; SC-Style Electric Guitar; Deluxe Series; Body: Okoume; Top: maple; Neck: Nyatoh; Fingerboard:..."
47,1,Harley Benton,RB-612CS Classic Serie B-Stock,£193,"Design: Semi-hollow
                                                            Body: Sapele
                                                            Neck: Maple"
48,1,PRS,CE 24 Semi Hollow MS B-Stock,"£2,049","B-Stock, PRS CE 24 Semi Hollow MS McCarty Sunburst; e-guitar; Mahogany body; Semi Hollow with one F-hole; curved maple top; screwed maple neck; finger..."
49,1,Squier,Affinity Strat FSR H H B-Stock,£188,"B-Stock, Squier Affinity FSR Stratocaster H HT Surf Green; Electric Guitar; Series: Affinity Series; Body: Poplar; Neck: Maple, Neck Profile: Slim ""C""..."
50,1,Larry Carlton,L7V TS B-Stock,£466,"B-Stock, Larry Carlton L7V TS; SC-Style Electric Guitar; Body: Mahogany; Top: Maple with flamed Maple Veneer; Neck: Mahogany; Fingerboard: Ebony (Dios..."
51,1,Harley Benton,Fusion-III HSS Roasted B-Stock,£321,"B-Stock, Harley Benton Fusion-III HSS Roasted OMS Pro Series; ST-shape electric guitar; comfort body contour; body: nyatoh; neck: roasted Canadian har..."
52,1,ESP,LTD MH-200 Black B-Stock,£398,"Body: Mahogany
                                                            Top: Maple
                                                            Bolted neck: Maple"
53,1,FGN,J-Standard Odyssey DU  B-Stock,£877,"B-Stock, FGN J-Standard Odyssey DU IBS; ST-Style Electric Guitar; Body: Ash; Top: Imbuia; Neck: Maple; Fingerboard: Rosewood (Dalbergia Latifolia) ; N..."
54,1,Harley Benton,Fusion-III HSH EB FBB B-Stock,£241,"B-Stock, Harley Benton Fusion-III HSH EB FBB Trans Flamed Bengal Burst; pro series; st-style electric guitar; comfort body contour with matched headst..."
55,1,Harley Benton,Amarok-6 BKRD Quilted  B-Stock,£399,"Body shape: Arched Modern Comfort
                                                            Body: Mahogany
                                                            Top: Quilted maple veneer"
56,1,PRS,SE Hollowbody II CA B-Stock,£719,"Top and bottom: Flamed maple, laminated
                                                            Sides: Mahogany
                                                            Neck: Mahogany"
57,1,Schecter,Signature Nick Johnsto B-Stock,£799,"B-Stock, Schecter Nick Johnston Traditional H/S/S Atomic Snow; E-Guitar; Signature ST Style; Alder body; Ebony fretboard; Maple neck; Thin C neck shap..."
58,1,Chapman Guitars,ML3 Pro Trad Semi Holl B-Stock,£766,"B-Stock, Chapman Guitars ML3 Pro Traditional Semi-Hollow Aventurine Green Sparkle, semi-hollow body electric guitar, mahogany (Lophopetalum Javanicum)..."
