,manufacturer,title,price,description
287,Harley Benton,Fusion-III HSH EB FPU B-Stock,£239,"B-Stock, Harley Benton Fusion-III HSH EB FPU Trans Flamed Purple; pro series; st-style electric guitar; comfort body contour with matched headstock; b..."
288,Schecter,Nick Johnston Tradit.S B-Stock,£738,"B-Stock, Schecter Nick Johnston Traditional LH Atomic Orange; ST-Style Lefthand Electric Guitar; Body: Alder; Neck: Roasted Maple; Fingerboard: Roaste..."
289,Harley Benton,Aeolus Bengal Flame B-Stock,£281,"B-Stock, Harley Benton Aeolus Bengal Flame; Pro Series; Semi-Hollow Electric Guitar; Body: Mahogany; Top: Flame AAA Maple Veneer; Neck: Roasted Flame ..."
290,Fender,AM Pro II Tele 3TSB B-Stock,"£1,435","B-Stock, Fender AM Pro II Tele 3TSB; T-Style Electric Guitar; Body: Alder; Neck: Maple; Fingerboard: Rosewood (Dalbergia Latifolia) ; Neck Mount: Bolt..."
291,Epiphone,Les Paul Custom Ebony B-Stock,£466,"Body: Mahogany
                                                            5-Way body binding
                                                            Neck: Mahogany"
292,PRS,SE Hollowbody MT McCar B-Stock,£625,"B-Stock, PRS SE Hollowbody MT McCarty Tobacco Sunburst, e-guitar, mahogany body (Khaya Ivorensis), mahogany neck (Swietenia Macrophylla), ebony fretbo..."
293,Harley Benton,HB-35Plus Lemon B-Stock,£181,"Build: Semi-hollow with mahogany sustain block (Entandrophragma cylindricum)
                                                            Vintage series
                                                            Body: Maple"
294,Harley Benton,Fusion-III HH HT Roast B-Stock,£327,"B-Stock, Harley Benton Fusion-III EMG HT Roasted SBK Pro Series; ST-shape electric guitar; comfort body contour; body: Nyatoh (Palaquium spp); neck: r..."
295,Harley Benton,JA-20HH Active SBK B-Stock,£128,"B-Stock, Harley Benton JA-20HH Active SBK; Standard Series; electric guitar; poplar body; bolt-on maple neck with modern C-shape; roseacer fretboard; ..."
296,Harley Benton,SC-450Plus LD Vintage  B-Stock,£143,"Vintage series
                                                            Body: Mahogany
                                                            Arched top made of AAA flamed maple"
297,Squier,60s Jaguar MH CFM Ltd B-Stock,£389,"B-Stock, Squier Classic Vibe '60s Jaguar MH Charcoal Frost Metallic, limited to 500 pc in europe, Jaguar electric guitar; Classic Vibe; body: Poplar; ..."
298,Harley Benton,CST-24T Black Flame LH B-Stock,£212,"Left-hand model
                                                            Deluxe series
                                                            Body: Mahogany"
299,Gibson,SG Standard HC B-Stock,"£1,259","Body: Mahogany
                                                            Neck: Mahogany
                                                            Fretboard: Rosewood"
